Year	Period	TRADETYPE	FLOW	PARTENAIRE	HS2012	POIDNET	QUANTITE	VALEURINSAE	
2004	08	CG	I	ZZ_Monde	3304	86253.000	0.000	44170240.000	
2002	06	CG	I	ZZ_Monde	3907	86235.000	0.000	64302447.000	
2004	07	CG	I	ZZ_Monde	7216	86223.000	0.000	30392196.000	
2015	05	CG	I	ZZ_Monde	8309	86190.000		136075336.000	
2014	08	CG	I	ZZ_Monde	8708	86189.610		150466849.000	
2005	08	CG	I	ZZ_Monde	4011	86179.000	1812.000	100774562.000	
1998	01	CG	I	ZZ_Monde	3304	86139.000	0.000	83889953.000	
2009	05	CG	I	ZZ_Monde	2402	86100.000	0.000	471992641.000	
2016	01	CG	ET	ZZ_Monde	2009	86075.000		17871203.000	
2014	10	CG	I	ZZ_Monde	3907	86072.000		104491953.000	
1998	09	CG	I	ZZ_Monde	8502	86050.000	48.000	210352837.000	
2001	08	CG	I	ZZ_Monde	8309	86004.000	0.000	144152300.000	
